Date,Open,High,Low,Close,Volume,Change,news,Open_USD/KRW,High_USD/KRW,Low_USD/KRW,Close_USD/KRW,Adj Close_USD/KRW,Volume_USD/KRW,Open_ks11,High_ks11,Low_ks11,Close_ks11,Adj Close_ks11,Volume_ks11
2021-06-16,81500.0,81900.0,81100.0,81800.0,14999855.0,0.011124845488257096,0.43,1116.48999,1119.030029,1115.630005,1116.030029,1116.030029,0.0,3259.060059,3281.959961,3256.679932,3278.679932,3278.679932,2345200.0
2021-06-17,81100.0,81300.0,80700.0,80900.0,14007385.0,-0.011002444987775029,0.35,1132.109985,1135.859985,1126.920044,1131.949951,1131.949951,0.0,3276.199951,3276.199951,3251.320068,3264.959961,3264.959961,1848200.0
2021-06-18,81100.0,81100.0,80500.0,80500.0,14916721.0,-0.0049443757725586845,0.35,1133.670044,1136.780029,1126.51001,1133.540039,1133.540039,0.0,3265.679932,3275.76001,3262.580078,3267.929932,3267.929932,1626400.0
2021-06-21,79700.0,80000.0,79600.0,79900.0,16063340.0,-0.007453416149068359,0.27,1134.140015,1138.719971,1130.890015,1134.25,1134.25,0.0,3264.179932,3264.179932,3225.560059,3240.790039,3240.790039,1508100.0
2021-06-22,80200.0,80300.0,79900.0,80000.0,11773365.0,0.0012515644555695093,0.31,1130.52002,1138.0,1130.23999,1130.339966,1130.339966,0.0,3245.790039,3267.629883,3245.790039,3263.879883,3263.879883,1666300.0
2021-06-23,80500.0,80600.0,79900.0,80100.0,13856548.0,0.0012499999999999734,0.45,1132.430054,1138.089966,1131.359985,1132.51001,1132.51001,0.0,3265.72998,3281.879883,3263.070068,3276.189941,3276.189941,1068300.0
2021-06-24,80400.0,81400.0,80100.0,81200.0,18771080.0,0.013732833957553092,0.69,1133.410034,1138.130005,1129.939941,1132.609985,1132.609985,0.0,3281.469971,3292.27002,3277.850098,3286.100098,3286.100098,1300300.0
2021-06-25,81500.0,81900.0,81200.0,81600.0,13481405.0,0.0049261083743843415,0.63,1131.459961,1132.23999,1123.310059,1130.800049,1130.800049,0.0,3289.179932,3316.080078,3289.179932,3302.840088,3302.840088,1197600.0
2021-06-28,81700.0,82000.0,81600.0,81900.0,11578529.0,0.003676470588235281,0.65,1125.339966,1131.670044,1125.339966,1125.339966,1125.339966,0.0,3305.459961,3311.689941,3291.300049,3301.889893,3301.889893,1427400.0
2021-06-29,81900.0,82100.0,80800.0,81000.0,15744317.0,-0.01098901098901095,0.55,1129.02002,1133.969971,1127.310059,1129.040039,1129.040039,0.0,3305.26001,3305.419922,3276.629883,3286.679932,3286.679932,1211800.0
